Sample,PvP01_14_v1:763508,PvP01_03_v1:823594,PvP01_10_v1:184645,PvP01_10_v1:483568,PvP01_12_v1:377299,PvP01_11_v1:1364199,PvP01_10_v1:480601,PvP01_13_v1:1332969,PvP01_14_v1:1272043,PvP01_14_v1:460513,PvP01_12_v1:1695950,PvP01_10_v1:383155,PvP01_12_v1:1127030,PvP01_12_v1:1738799,PvP01_13_v1:66121,PvP01_14_v1:2339401,PvP01_10_v1:256817,PvP01_05_v1:1278457,PvP01_06_v1:882660,PvP01_14_v1:1160762,PvP01_11_v1:1137410,PvP01_06_v1:923512,PvP01_08_v1:879062,PvP01_03_v1:764851,PvP01_09_v1:1101235,PvP01_08_v1:1420994,PvP01_13_v1:516924,PvP01_14_v1:1229487,PvP01_14_v1:2566159,PvP01_12_v1:553265,PvP01_05_v1:1052474,PvP01_11_v1:371608,PvP01_06_v1:646186,PvP01_09_v1:303291,PvP01_12_v1:2324641,PvP01_12_v1:1116377,PvP01_09_v1:924204,PvP01_05_v1:1286077,PvP01_07_v1:595236,PvP01_06_v1:757119,PvP01_07_v1:507890,PvP01_14_v1:1343648,PvP01_08_v1:1506827,PvP01_07_v1:1137322,PvP01_14_v1:344881,PvP01_12_v1:338808,PvP01_09_v1:1169264,PvP01_14_v1:1270401,PvP01_10_v1:1131031,PvP01_08_v1:442363,PvP01_11_v1:1724604,PvP01_12_v1:882252,PvP01_14_v1:1349891,PvP01_10_v1:165046,PvP01_14_v1:2907128,PvP01_03_v1:850299,PvP01_09_v1:1547999,PvP01_09_v1:735276,PvP01_09_v1:1884013,PvP01_05_v1:1020519,PvP01_03_v1:384548,PvP01_05_v1:452615,PvP01_04_v1:400824,PvP01_14_v1:2921425,PvP01_02_v1:355597,PvP01_12_v1:1463080,PvP01_11_v1:384043,PvP01_08_v1:555644,PvP01_11_v1:550783,PvP01_09_v1:644970,PvP01_07_v1:427785,PvP01_12_v1:1988355,PvP01_08_v1:956216,PvP01_01_v1:746509,PvP01_05_v1:693449,PvP01_06_v1:645726,PvP01_13_v1:485833,PvP01_14_v1:138349,PvP01_13_v1:699780,PvP01_05_v1:1285366,PvP01_04_v1:341631,PvP01_14_v1:446323,PvP01_11_v1:1226906,PvP01_03_v1:184372,PvP01_14_v1:1266326,PvP01_11_v1:1345904,PvP01_11_v1:503992,PvP01_11_v1:1448769,PvP01_12_v1:1400307,PvP01_02_v1:491114,PvP01_09_v1:339310,PvP01_13_v1:1209242,PvP01_11_v1:516764,PvP01_13_v1:1340035,PvP01_13_v1:1036146,PvP01_12_v1:1512622,PvP01_14_v1:1258544,PvP01_11_v1:108593,PvP01_03_v1:220999,PvP01_13_v1:411903,PvP01_02_v1:718939,PvP01_05_v1:1049754,PvP01_09_v1:448825,PvP01_11_v1:1868012,PvP01_04_v1:776919,PvP01_05_v1:1079461,PvP01_07_v1:261070,PvP01_14_v1:1348961,PvP01_10_v1:671286,PvP01_12_v1:2057371,PvP01_13_v1:1661666,PvP01_05_v1:1045059,PvP01_12_v1:2353408
VVX01729,A,G,G,G,T,A,G,T,T,G,C,G,T,C,T,C,C,C,C,C,C,C,T,T,A,T,C,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,N,G,C,G,G,G,C,G,G,G,T,G,T,G,T,C,A,G,G,C,T,G,C,C,C,A,G,C,G,G,T,G,A,A,A,T,A,T,G,G,N,C,A,A,A,G,C,G,G,G,T,G,N,A,C,T,T,G,C,A,G,G,A,T,G,N,A,C,C
VVX01731,A,G,G,G,T,A,G,T,T,A,C,N,T,C,A,C,C,C,C,C,C,C,T,T,G,T,C,G,C,T,G,A,C,C,C,C,C,G,G,G,T,T,A,C,T,G,C,G,G,G,C,G,G,T,G,C,T,G,T,C,A,G,G,C,T,G,C,C,N,A,G,C,G,G,T,G,A,A,A,T,G,T,G,G,T,C,A,A,A,G,G,G,G,G,C,G,C,A,C,T,G,G,T,C,G,G,G,C,G,G,A,C,C
VVX01732,A,G,G,G,T,A,G,T,T,G,C,G,T,C,T,C,C,C,C,C,C,C,T,T,G,T,T,G,C,T,G,A,C,C,C,C,T,G,G,G,T,T,A,C,T,G,C,G,G,T,C,G,G,G,G,C,C,G,T,C,A,G,G,C,C,G,C,C,C,A,G,C,G,G,G,A,A,A,A,T,A,T,G,G,T,C,A,A,A,A,G,G,G,G,C,G,C,A,C,T,T,G,T,A,G,G,A,T,G,G,A,C,C
VVX01733,X,X,X,X,X,X,G,X,X,X,X,X,X,X,X,X,X,C,C,X,X,X,X,X,G,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,G,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,A,X,X,X,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X
VVX01734,A,A,G,G,T,A,G,T,T,G,C,G,T,C,N,C,C,C,C,T,C,C,T,T,G,T,T,G,C,T,G,A,C,C,C,C,C,G,G,G,T,T,A,C,G,G,C,G,G,G,T,G,A,T,G,C,T,G,T,C,A,G,N,C,C,G,C,T,C,A,G,C,G,N,G,G,A,A,A,T,G,T,G,G,T,G,A,A,A,A,G,G,G,G,T,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,A,C,C
VVX01735,A,A,G,G,T,A,G,T,T,G,C,G,T,C,A,C,C,C,C,C,C,C,T,T,G,T,C,G,C,T,G,A,C,T,C,C,C,G,G,G,T,T,A,C,T,G,C,G,G,G,C,G,G,T,G,C,T,G,T,C,A,G,A,C,C,G,C,C,C,A,A,C,G,G,T,A,A,A,A,T,A,T,G,G,T,G,A,A,A,A,G,G,G,G,C,A,C,A,G,T,T,G,T,C,G,G,A,C,G,G,A,C,C
VVX01736,A,G,G,G,T,A,G,T,T,G,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,T,C,G,C,T,G,A,T,C,C,C,T,G,G,G,T,T,A,C,G,G,C,G,A,G,C,G,A,G,G,G,T,G,T,C,A,G,A,C,T,G,C,C,C,A,G,C,G,G,T,G,A,A,A,T,A,T,G,G,T,G,A,A,T,A,C,G,G,G,T,G,C,A,C,T,G,G,T,C,G,G,A,C,G,T,A,C,C
VVX01738,A,N,G,G,N,A,G,T,T,G,C,N,N,C,N,C,C,C,C,C,C,C,N,T,G,T,N,G,C,N,G,A,N,T,C,C,C,G,G,G,T,T,A,C,T,G,C,G,G,T,C,G,G,N,G,N,T,G,T,C,A,G,N,C,N,G,C,C,C,A,N,C,G,G,N,G,A,A,A,T,N,T,G,G,T,N,A,A,A,N,C,G,N,G,N,G,C,A,C,T,N,G,C,A,G,G,A,N,G,N,A,C,C
VVX01739,A,A,G,G,T,A,G,T,T,G,C,G,T,C,A,C,C,C,C,C,C,C,T,T,G,T,C,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,C,G,A,T,C,G,G,G,G,G,T,G,G,C,A,G,A,C,C,G,C,C,C,A,G,C,G,G,G,A,A,A,A,T,A,T,G,G,T,C,A,A,A,G,G,G,G,G,T,G,C,A,C,T,G,G,C,C,G,G,A,T,G,T,A,C,C
VVX01740,A,G,G,G,T,A,G,C,T,G,C,G,T,C,A,C,C,C,C,C,C,C,T,T,A,T,T,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,A,T,G,C,G,G,T,C,G,G,T,G,G,T,G,T,C,A,G,A,C,T,G,C,C,C,A,G,C,G,G,T,G,A,A,A,T,A,T,G,G,T,N,A,A,A,G,N,G,G,G,C,G,C,A,C,T,G,G,C,A,G,G,A,T,G,T,A,C,C
VVX01741,A,N,G,G,T,A,G,T,N,N,C,G,T,C,N,C,C,C,C,C,C,C,T,N,N,T,N,G,C,T,G,A,T,N,C,C,C,G,G,G,T,T,A,C,G,G,C,G,G,G,N,G,G,T,G,C,N,G,G,C,A,G,A,N,T,G,C,N,C,A,G,C,G,G,T,N,A,A,N,T,A,T,G,G,T,N,A,A,A,N,N,G,G,G,C,G,C,A,C,T,G,G,N,N,G,G,N,C,N,N,A,C,C
VVX01743,A,A,G,G,A,A,G,T,T,G,C,T,T,C,T,C,C,C,C,C,C,C,T,T,G,T,T,G,C,T,G,C,T,T,C,C,C,G,G,G,T,T,A,C,G,G,C,G,G,T,C,G,G,T,G,C,T,G,T,C,A,G,A,C,C,G,C,C,G,A,G,C,G,G,T,A,A,A,A,T,G,T,G,G,T,C,A,A,A,A,G,G,G,G,C,G,C,A,C,T,G,G,T,C,G,G,A,C,G,G,A,C,C
VVX01744,A,A,G,G,A,A,G,T,T,G,C,T,T,C,T,C,C,C,C,C,C,C,T,T,G,T,T,G,C,T,G,C,T,T,C,C,C,G,G,G,T,T,A,C,G,G,C,G,G,T,C,G,G,T,G,C,T,G,T,C,A,G,A,C,C,G,C,C,G,A,G,C,G,G,T,A,A,A,A,T,G,T,G,G,T,C,A,A,A,A,G,G,G,G,C,G,C,A,C,T,G,G,T,C,G,G,A,C,G,G,A,C,C
VVX01746,A,N,G,G,A,A,G,T,T,G,C,G,N,C,A,C,C,C,C,N,C,C,T,T,G,T,C,G,C,T,G,A,N,N,C,C,C,G,G,G,T,T,A,C,T,G,C,G,G,N,C,G,G,N,G,N,T,G,T,C,A,G,A,C,C,G,C,C,C,A,G,C,G,G,N,G,A,A,N,T,N,T,G,G,T,C,A,A,A,G,G,G,G,G,C,G,C,A,C,T,G,G,T,N,G,G,A,T,G,N,A,C,C
VVX01747,A,N,G,G,T,A,G,T,T,A,C,N,T,C,A,C,C,C,C,C,C,C,T,N,G,T,N,G,C,N,G,A,T,T,C,C,C,G,G,G,T,T,A,C,G,G,C,G,G,T,C,G,G,T,N,N,T,G,T,C,A,G,A,C,C,G,C,C,C,A,G,C,G,G,T,A,A,A,A,T,A,T,G,G,T,G,A,A,A,A,G,G,G,G,C,N,C,A,C,T,G,G,C,C,N,G,A,T,G,G,A,C,C
VVX01748,X,X,X,X,X,A,G,T,X,X,X,G,X,C,X,X,X,C,C,C,X,X,X,C,X,X,X,X,C,T,X,X,X,C,X,X,X,G,X,X,X,X,X,C,X,X,C,G,X,X,X,G,X,T,X,X,X,G,X,X,X,G,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,G,X,X,X,X,X,X,X,X,X,G,C,X,X,X,A,T,X,X,X,X,X
VVX01749,A,G,G,G,T,A,G,T,T,N,C,N,T,C,N,C,C,C,C,C,C,C,T,C,N,T,C,G,C,T,G,A,T,C,C,C,N,G,G,N,T,T,A,C,N,G,C,G,G,N,C,G,G,T,G,N,N,G,N,C,A,G,A,C,C,G,C,C,C,A,G,C,G,G,N,G,A,A,N,T,G,T,G,G,T,N,A,A,A,A,G,G,G,G,C,G,C,A,C,T,N,G,T,N,N,G,A,N,G,N,A,C,C
VVX01750,A,G,G,G,N,A,G,T,T,G,C,T,T,C,A,C,C,C,C,N,C,C,A,N,G,T,T,G,C,T,G,C,N,C,C,C,C,G,G,G,T,T,A,N,N,G,C,G,G,G,C,G,G,N,G,C,T,G,T,C,A,G,A,C,N,G,C,C,C,A,N,C,G,G,T,N,A,A,A,T,A,T,G,G,T,N,A,A,A,A,G,G,N,G,C,G,C,A,C,T,G,G,N,N,N,G,A,T,G,N,A,C,C
VVX01751,A,G,G,G,A,A,G,T,T,G,C,T,T,C,A,C,C,C,C,C,C,C,A,T,G,T,T,G,C,T,G,C,C,C,C,C,C,G,G,G,T,T,A,C,G,G,C,G,G,G,C,G,G,G,G,C,T,G,T,C,A,G,A,C,C,G,C,C,C,A,A,C,G,G,T,G,A,A,A,T,A,T,G,G,T,C,A,A,A,A,G,G,C,G,C,G,C,A,C,T,G,G,T,C,G,G,A,T,G,G,A,C,C
VVX01752,A,N,G,G,T,A,G,T,N,G,C,N,T,C,N,C,C,C,C,N,C,C,N,N,G,T,N,G,C,T,G,A,N,N,C,C,C,G,G,G,T,N,A,N,G,G,C,N,G,N,C,G,G,T,G,N,T,G,T,C,T,G,N,C,N,G,C,N,C,A,G,C,G,G,T,N,A,A,A,T,N,T,G,G,T,N,A,A,A,A,C,G,G,G,C,G,N,A,C,N,N,G,N,C,N,G,N,C,G,N,N,C,C
VVX01753,A,G,G,G,T,A,G,T,N,G,C,N,T,C,N,C,C,C,C,T,C,C,A,N,G,T,C,G,C,T,G,A,T,T,C,C,C,G,G,G,T,N,A,A,G,G,C,C,G,T,C,G,G,T,G,C,T,G,T,C,T,G,A,C,T,G,C,C,C,A,G,C,G,G,T,N,A,A,A,T,N,T,G,G,T,G,A,A,A,A,C,G,G,G,C,G,N,A,C,T,N,G,T,C,G,G,N,C,G,N,C,C,C
VVX01755,A,A,G,G,T,A,G,T,T,G,C,G,T,C,A,C,C,C,C,C,C,C,N,N,A,T,C,G,C,T,G,N,C,C,C,C,C,G,G,G,T,T,A,C,G,G,C,G,G,T,C,G,A,T,G,N,T,G,T,C,A,G,G,C,T,G,C,C,N,A,G,C,G,G,T,G,A,A,A,T,G,T,G,G,T,C,A,A,A,A,G,G,G,G,C,G,C,A,C,T,G,G,C,A,G,G,A,C,G,G,A,C,C
VVX01772,A,G,G,G,T,C,G,T,T,G,C,G,G,C,T,C,X,C,C,C,C,C,T,C,G,T,C,G,X,T,G,A,T,C,X,C,C,G,G,G,T,T,A,C,X,A,C,G,X,T,C,G,G,G,G,C,C,G,G,C,A,G,A,C,C,G,C,T,C,A,G,C,G,X,X,A,G,A,A,X,G,C,G,G,A,X,A,G,X,G,C,G,G,G,C,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,C,C,C
VVX01773,X,X,X,G,T,X,X,X,T,X,X,X,X,C,T,X,X,X,C,X,X,C,T,X,G,T,X,X,X,X,G,A,T,C,C,X,T,G,X,X,T,X,X,C,X,G,X,G,G,X,C,X,G,X,N,X,X,X,X,X,A,G,X,C,X,X,X,X,X,X,G,C,G,X,T,A,X,X,A,X,G,C,G,X,X,X,X,X,X,X,C,G,X,G,X,G,C,X,C,T,X,G,C,X,X,X,X,X,G,X,N,X,X
VVX01782,X,X,G,X,T,X,G,X,X,X,C,G,X,C,X,X,X,C,C,X,X,C,X,X,G,T,C,G,X,T,G,A,T,C,X,X,X,G,G,G,X,X,X,C,X,X,C,X,X,X,C,G,G,X,G,C,X,G,X,X,A,X,X,C,X,G,X,T,C,X,G,X,G,X,X,X,X,A,X,X,X,C,X,X,X,X,X,X,A,G,C,G,X,G,X,G,C,X,C,X,X,G,X,X,G,X,X,C,X,X,C,X,C
VVX01786,A,G,G,G,T,C,G,N,T,X,C,G,N,C,T,C,C,C,C,C,C,C,T,C,G,T,C,G,X,T,G,A,T,C,C,C,C,G,A,G,T,T,A,C,X,G,C,G,G,T,C,G,G,X,G,C,C,T,G,C,A,G,N,C,C,G,C,C,C,A,G,C,G,A,G,A,G,X,G,C,G,X,G,G,T,G,A,G,X,G,C,G,G,G,X,G,X,A,C,T,T,G,C,C,G,G,A,C,G,T,N,C,C
VVX01793,A,G,G,G,T,C,G,C,T,G,C,G,G,C,A,C,A,C,C,C,C,C,T,C,G,T,C,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,A,C,G,G,T,X,G,G,G,G,C,C,G,G,C,A,G,A,C,C,G,C,T,G,A,G,C,G,A,G,A,G,A,A,T,G,T,G,G,A,G,A,G,T,A,C,G,G,G,C,G,C,A,C,T,G,G,C,C,C,G,A,C,G,T,C,C,C
VVX01799,A,G,G,G,T,C,G,N,T,A,C,G,G,C,T,C,A,C,C,C,C,C,T,C,G,T,C,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,A,C,G,G,T,C,G,G,G,G,C,C,G,G,C,A,G,A,C,C,G,C,T,C,A,G,C,G,N,G,A,G,A,A,T,G,C,G,G,A,G,A,G,T,A,C,G,G,G,C,G,C,A,C,T,G,G,C,C,C,G,G,C,G,T,A,C,C
VVX01806,A,G,G,G,T,C,G,C,T,A,C,G,G,C,T,C,C,C,C,C,C,C,T,C,G,T,C,G,T,T,G,A,T,C,C,C,C,G,A,G,T,T,A,C,G,A,C,G,G,T,C,G,G,G,G,C,C,G,G,C,A,G,A,C,C,G,C,T,G,A,G,C,G,A,G,A,G,A,G,T,G,C,G,G,A,G,A,G,T,G,C,G,G,G,C,G,C,A,C,T,G,G,C,C,C,G,A,C,G,T,C,C,C
VVX01812,A,G,G,G,T,C,G,C,T,A,C,G,G,C,T,C,A,C,C,C,C,C,T,C,G,T,C,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,A,C,G,G,T,C,G,G,G,G,C,C,G,G,C,A,G,A,C,C,G,C,T,C,A,G,C,G,A,G,A,G,A,A,T,G,C,G,G,A,G,A,G,T,A,C,G,G,G,C,G,C,A,C,T,G,G,C,C,C,G,G,C,G,T,A,C,C
VVX01814,A,G,G,G,T,C,G,C,T,G,C,G,G,C,A,C,C,C,C,C,C,C,T,C,G,T,C,G,C,T,G,A,T,C,C,C,C,G,A,G,T,T,A,A,X,A,C,G,G,T,C,G,G,G,G,C,C,G,G,C,A,G,A,C,C,G,C,T,G,A,G,C,G,A,G,A,G,A,G,T,A,C,G,G,A,G,A,G,T,G,C,G,G,G,C,G,C,A,C,T,T,G,C,X,C,G,A,C,G,T,C,C,C
VVX01815,A,G,G,G,T,C,G,C,T,G,C,G,G,C,N,C,A,C,C,C,C,C,T,C,G,T,N,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,G,A,C,G,G,T,C,G,G,N,G,C,C,X,G,C,A,G,A,C,C,G,C,C,G,N,G,C,G,A,G,A,G,A,G,C,G,C,G,G,N,G,A,G,T,A,C,G,G,G,C,G,C,A,C,T,N,G,C,C,C,G,A,C,G,T,C,C,C
VVX01873,A,G,G,G,T,C,G,C,T,G,C,G,G,C,A,C,C,C,C,C,C,C,T,C,G,T,C,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,G,A,C,G,G,T,C,G,G,T,G,C,C,G,G,C,A,G,A,C,C,G,C,T,C,A,G,C,G,A,G,A,G,A,A,T,G,C,G,G,A,G,A,G,T,G,C,G,G,G,C,G,C,A,C,T,G,G,C,C,C,G,A,C,G,T,C,C,C
VVX01886,A,A,G,G,T,C,G,C,T,G,C,G,G,C,A,C,C,C,C,C,C,C,T,C,G,T,C,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,G,A,C,G,G,T,C,G,G,G,G,C,C,G,X,C,A,G,A,C,C,G,C,C,N,A,G,C,G,A,G,A,G,A,G,T,G,T,G,G,T,G,A,G,N,A,C,G,G,G,C,G,C,A,C,T,G,G,C,C,C,G,A,C,G,T,C,C,C
VVX01890,A,A,G,G,T,C,X,C,T,X,C,G,G,C,A,C,C,C,X,X,C,C,T,C,G,T,C,G,C,T,G,A,T,C,X,C,C,X,G,G,T,T,A,C,G,A,C,G,X,X,C,G,G,G,G,C,C,G,G,C,A,G,A,C,X,G,C,T,C,A,G,C,G,A,G,A,X,A,G,X,G,C,G,G,A,G,A,G,T,A,C,G,G,G,C,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,X,C,C
VVX01893,A,G,G,G,T,C,G,C,T,G,C,G,G,C,A,C,A,C,C,C,C,C,T,C,G,T,C,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,G,A,C,G,G,T,C,G,G,G,G,C,C,G,G,C,A,G,A,G,C,G,C,C,C,A,G,C,G,A,G,A,G,A,G,C,G,T,G,G,T,G,A,G,T,G,C,G,G,G,C,G,C,A,C,T,G,G,C,C,C,G,A,C,G,T,A,C,C
VVX01896,X,G,G,G,T,X,G,C,T,X,C,G,G,C,A,C,X,C,C,C,C,C,T,C,G,T,X,G,C,T,G,X,T,C,C,C,C,G,G,G,T,X,A,C,G,A,C,G,X,T,C,G,G,T,G,C,C,X,X,C,A,G,X,C,C,X,C,T,C,A,G,C,G,X,X,X,X,A,X,T,G,T,G,X,A,G,X,G,X,A,C,G,X,G,C,G,C,A,C,X,G,G,C,C,G,X,A,C,G,T,A,X,C
VVX01897,A,G,X,G,T,C,G,N,X,A,C,G,X,C,A,C,C,X,C,C,C,C,T,X,G,T,T,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,X,G,X,C,G,G,G,X,X,G,T,G,C,C,G,T,C,A,G,A,C,C,X,X,T,G,A,G,C,G,X,X,A,X,A,G,T,G,T,X,X,X,G,A,G,T,A,X,G,G,G,C,G,X,A,C,T,X,G,X,C,G,X,A,C,G,T,C,C,C
VVX01898,X,G,G,G,T,X,G,X,X,G,C,G,X,X,X,C,X,X,X,C,C,C,T,C,X,T,X,G,C,T,X,A,T,X,C,X,C,G,G,G,X,X,X,C,X,A,C,G,X,X,X,X,G,X,G,C,X,G,X,C,A,G,X,C,C,G,X,T,C,A,G,X,G,X,X,A,A,A,X,T,G,T,G,G,A,G,A,X,X,A,X,G,G,G,X,G,C,X,C,T,X,G,C,C,G,X,A,C,X,T,A,C,C
VVX01899,A,X,G,G,X,X,G,T,T,X,C,G,G,C,T,X,C,C,C,C,C,C,T,C,G,T,C,G,C,T,G,A,X,X,C,C,X,G,G,X,T,T,X,C,G,X,C,G,G,T,C,G,G,T,G,C,X,G,G,X,A,G,A,C,C,G,X,T,G,A,G,C,G,A,G,A,G,A,A,T,G,X,G,X,X,G,A,X,X,A,X,X,G,X,C,G,C,X,C,T,T,G,C,C,C,G,X,C,G,T,X,C,C
VVX01902,C,G,G,G,T,C,G,C,T,A,X,G,G,C,A,C,C,C,C,C,C,C,T,C,G,T,C,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,G,A,C,G,G,T,C,G,G,G,G,C,C,G,G,C,A,G,A,C,C,G,C,T,C,A,G,C,G,A,G,A,G,A,G,T,G,C,G,G,T,G,A,G,T,N,C,G,G,G,C,G,C,A,C,T,T,G,C,C,G,G,A,C,G,T,A,C,C
VVX01903,C,G,G,G,T,C,G,C,T,A,C,G,T,C,X,C,C,C,C,C,C,C,T,C,G,T,C,G,C,T,X,A,T,C,C,C,C,G,G,G,T,X,A,C,G,A,C,G,G,T,C,G,G,G,G,C,C,G,X,C,A,G,A,C,C,G,C,T,C,A,G,C,G,A,G,A,X,A,G,T,G,C,G,X,T,G,A,G,T,G,C,G,G,G,C,G,C,A,C,T,X,G,C,C,G,G,A,C,G,T,A,X,C
VVX01905,A,G,G,X,T,C,G,C,X,A,C,G,X,C,A,C,C,C,C,C,C,C,T,C,G,T,C,G,X,T,G,A,X,C,C,C,C,G,G,G,T,T,A,C,G,A,X,G,G,T,C,G,G,X,G,C,C,G,X,C,A,G,A,C,C,G,C,T,X,A,X,C,G,A,G,A,G,A,X,N,X,X,G,G,A,G,A,G,T,A,X,G,G,G,C,G,X,A,C,T,G,G,X,C,G,G,A,C,G,T,C,X,X
VVX01906,X,X,X,X,X,X,X,X,T,X,C,X,G,C,X,C,C,C,C,C,C,C,X,X,G,T,C,G,C,T,G,A,T,C,C,C,C,X,G,G,T,T,A,C,G,A,C,G,G,T,C,G,G,X,G,C,C,G,T,C,A,G,A,C,X,G,X,X,G,A,G,C,G,A,G,A,G,A,A,T,G,X,G,G,A,G,A,G,T,A,X,G,G,X,C,G,C,X,C,T,T,G,X,X,C,G,A,C,X,X,X,C,C
VVX01907,A,N,G,G,T,C,G,N,T,N,C,G,G,C,N,C,C,C,C,C,C,C,T,C,G,T,C,G,C,T,G,A,C,T,C,C,C,G,G,G,A,T,A,C,G,G,C,G,G,G,C,G,G,N,G,N,C,G,T,C,A,G,A,C,C,G,C,T,C,A,G,C,G,G,G,A,G,A,A,N,N,T,G,G,A,G,A,G,A,A,C,G,G,G,C,G,C,A,C,T,G,G,C,C,C,G,A,C,G,G,C,C,C
VVX01908,A,G,G,G,T,C,G,C,T,G,C,G,G,C,A,C,C,C,C,C,C,C,T,C,G,T,T,G,C,T,G,A,C,T,C,T,C,G,G,G,A,T,A,C,G,G,C,G,G,G,C,G,G,T,G,C,C,G,G,C,A,G,A,G,C,G,C,T,C,A,G,C,G,A,G,A,G,A,A,T,G,T,G,G,A,G,A,G,A,A,C,G,G,G,C,G,C,A,C,T,G,G,C,C,C,G,G,C,G,G,C,C,C
VVX01913,X,X,G,G,T,C,G,T,N,X,X,G,X,C,N,C,X,C,C,C,C,C,T,C,G,T,T,G,C,T,G,A,T,T,C,C,C,X,G,G,T,T,X,C,G,G,C,G,G,T,C,G,G,N,G,C,C,G,G,C,A,G,A,C,N,G,C,T,C,X,G,C,G,G,T,A,X,A,X,T,N,T,G,G,T,X,A,N,X,X,C,G,G,X,C,G,C,A,C,T,G,G,C,C,G,X,A,T,G,X,N,C,C
VVX01915,C,A,G,G,T,C,G,C,T,G,T,G,G,C,A,C,C,C,C,C,T,C,T,C,G,T,C,G,C,T,G,A,C,C,C,C,C,G,G,G,A,T,A,C,G,G,C,G,G,G,C,G,G,G,G,G,C,G,G,C,A,G,A,C,C,G,C,T,C,A,G,C,G,G,G,A,G,A,A,T,A,T,G,G,A,G,A,G,A,A,C,G,G,G,C,G,C,A,C,T,G,G,C,C,C,G,A,C,G,T,C,C,C
VVX01916,N,N,G,G,T,C,G,C,T,G,C,G,G,C,A,C,C,C,C,C,C,C,T,C,G,T,C,G,C,T,G,A,C,C,C,C,C,G,G,G,A,T,A,C,N,G,C,G,G,G,C,G,G,N,G,C,C,G,T,C,A,G,A,C,C,G,C,T,N,A,G,C,G,A,G,A,G,A,A,T,N,T,G,G,A,G,A,A,A,A,C,G,G,G,C,G,C,A,C,T,G,G,C,C,C,G,A,C,G,G,C,C,C
VVX01920,A,G,G,G,T,A,A,T,A,G,C,G,T,C,T,C,C,C,C,C,C,C,T,C,G,T,C,G,C,A,G,A,T,T,C,C,C,G,G,G,T,T,G,C,G,G,C,C,G,G,C,G,G,G,T,G,T,G,T,C,A,G,A,C,T,G,C,C,C,A,G,C,G,G,G,G,A,A,A,T,A,T,G,G,T,C,A,A,A,A,C,G,G,G,C,G,T,A,C,T,G,G,T,C,G,T,A,T,G,T,A,T,C
VVX01922,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X
VVX01923,A,A,G,G,X,C,G,C,T,X,C,G,X,C,A,C,C,C,C,C,C,C,X,C,X,T,T,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,G,X,C,G,G,T,X,G,G,X,G,C,C,G,G,C,A,G,A,C,C,X,X,T,X,A,G,C,X,A,G,A,G,A,G,T,G,T,G,G,T,G,A,G,X,X,C,G,G,G,C,X,C,A,C,T,X,G,C,C,C,G,A,C,G,X,C,C,X
VVX01924,A,G,G,G,T,C,G,C,T,G,C,G,G,C,A,C,C,C,C,C,C,C,T,C,G,T,T,G,C,T,G,A,C,T,C,T,C,G,G,G,A,T,A,C,G,G,C,G,G,G,C,G,G,T,G,C,C,G,G,C,A,G,A,G,C,G,C,T,C,A,G,C,G,A,G,A,G,A,A,T,G,T,G,G,A,G,A,G,A,A,C,G,G,G,C,G,C,A,C,T,G,G,C,C,C,G,G,C,G,G,C,C,C
